obtuvo_credito,numero_parcelas,superficie_total_ha,porcentaje_produccion_venta,anios_actividad,edad,participa_toma_decisiones,pertenece_asociacion,usa_maquinaria,usa_semilla_certificada,tiene_certificacion_calidad,tiene_seguro_agropecuario,recibio_asistencia_tecnica,nivel_educacion,sexo,departamento,region_natural,tipo_riego_predominante,principal_destino_produccion,principal_canal_venta,tipo_riego_predominante_str
true,6,1.66,99.77,17,37,false,false,true,false,false,false,false,Secundaria completa,Hombre,CUSCO,Sierra,Gravedad,Venta,Comerciante mayorista,Gravedad
true,4,5.6,90.24,3,34,false,false,true,false,false,false,false,Superior no universitaria completa,Hombre,CUSCO,Sierra,No especificado,Venta,Acopiador,No especificado
true,2,2.5,99.26,22,36,false,false,false,false,false,false,false,Primaria incompleta,Hombre,HUANUCO,Sierra,Secano,Venta,Comerciante mayorista,Secano
false,11,5.05,20.46,33,55,false,false,false,false,false,false,false,Secundaria incompleta,Hombre,HUANUCO,Sierra,Gravedad,Autoconsumo,Comerciante mayorista,Gravedad
false,6,9.3,86.21,32,50,false,false,false,false,false,false,false,Primaria incompleta,Hombre,HUANUCO,Sierra,Secano,Venta,Comerciante mayorista,Secano
true,2,9.5,100,37,72,false,false,true,false,false,false,false,Superior universitaria completa,Hombre,ICA,Costa,Gravedad,Venta,Acopiador,Gravedad
true,1,5.44,99.6,50,80,false,false,true,false,false,false,false,Primaria incompleta,Hombre,ICA,Costa,Gravedad,Venta,Acopiador,Gravedad
false,4,2.95,87.5,3,46,false,false,true,false,false,false,false,Primaria completa,Hombre,JUNIN,Sierra,Secano,Venta,Acopiador,Secano
true,2,74,100,5,36,false,false,true,false,false,false,false,Secundaria completa,Hombre,JUNIN,Selva,Goteo,Venta,Acopiador,Goteo
false,2,79,99.47,53,79,false,false,true,false,false,false,true,Secundaria completa,Hombre,JUNIN,Selva,Secano,Venta,Comerciante mayorista,Secano
true,1,2,100,20,48,false,false,false,false,false,false,false,Secundaria incompleta,Hombre,JUNIN,Selva,Secano,Venta,Comerciante mayorista,Secano
true,2,21,100,23,44,false,true,true,false,false,false,true,Secundaria completa,Hombre,JUNIN,Selva,Secano,Venta,Asociación/Cooperativa,Secano
true,12,2.21,91.29,20,43,false,false,true,false,false,false,false,Secundaria completa,Hombre,JUNIN,Sierra,Secano,Venta,Comerciante mayorista,Secano
false,2,306,99.03,28,58,false,true,true,false,false,false,false,Secundaria completa,Hombre,LA LIBERTAD,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,1,0.5,94.47,25,59,false,false,true,false,false,false,false,Primaria incompleta,Hombre,LAMBAYEQUE,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,2,8.25,0,31,52,false,false,true,false,false,false,false,Secundaria incompleta,Hombre,LAMBAYEQUE,Costa,No especificado,Autoconsumo,Sin ventas,No especificado
true,2,15.5,99.7,22,47,false,false,true,true,false,false,true,Secundaria incompleta,Hombre,LAMBAYEQUE,Costa,Gravedad,Venta,Acopiador,Gravedad
true,4,17.6,100,38,61,false,false,true,false,false,false,false,Secundaria completa,Hombre,LIMA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
true,1,10,100,20,48,false,false,true,false,false,false,false,Secundaria completa,Hombre,LIMA,Costa,Goteo,Venta,Acopiador,Goteo
true,6,14.6,82.61,23,30,false,false,true,false,false,false,false,Secundaria completa,Hombre,LIMA,Sierra,Aspersion,Venta,Comerciante mayorista,Aspersion
true,3,10,95.18,33,59,false,false,true,false,false,false,false,Secundaria completa,Hombre,LIMA,Costa,Gravedad,Venta,Acopiador,Gravedad
false,3,15.25,27.14,22,57,false,false,true,false,false,false,false,Primaria completa,Hombre,LORETO,Selva,Secano,Venta,Comerciante minorista,Secano
false,2,4.47,0,20,65,false,false,true,false,false,false,false,Primaria completa,Hombre,MOQUEGUA,Costa,Gravedad,Otro,Sin ventas,Gravedad
true,4,2.75,0,15,33,false,false,true,false,false,false,false,Secundaria completa,Hombre,PASCO,Sierra,Aspersion,Otro,Sin ventas,Aspersion
true,2,2.5,97.79,13,56,false,false,true,true,false,false,false,Secundaria completa,Mujer,PIURA,Costa,Gravedad,Venta,Comerciante mayorista,Gravedad
